N,	Average,	Error
1,	3.11891,	0
2,	3.09202,	0.0268871
3,	3.11122,	0.0246865
4,	3.15815,	0.050079
5,	3.14548,	0.0408094
6,	3.18264,	0.0499091
7,	3.1617,	0.0470927
8,	3.17465,	0.0427905
9,	3.17186,	0.0378401
10,	3.16657,	0.034257
11,	3.16787,	0.0310141
12,	3.16949,	0.0283579
13,	3.17789,	0.0274046
14,	3.1772,	0.0253809
15,	3.17536,	0.0236999
16,	3.16848,	0.023215
17,	3.16449,	0.0221674
18,	3.15609,	0.0225268
19,	3.15907,	0.0215166
20,	3.15497,	0.0208216
21,	3.15182,	0.0200544
22,	3.15343,	0.0191888
23,	3.14659,	0.0195676
24,	3.14468,	0.0188315
25,	3.13942,	0.0188129
26,	3.14325,	0.0184751
27,	3.13928,	0.0182156
28,	3.14145,	0.0176864
29,	3.14735,	0.0180577
30,	3.14932,	0.0175561
31,	3.15137,	0.0171036
32,	3.1517,	0.0165638
33,	3.15454,	0.0163034
34,	3.1555,	0.0158459
35,	3.15534,	0.0153874
36,	3.15535,	0.0149539
37,	3.15339,	0.0146755
38,	3.14911,	0.0149122
39,	3.15058,	0.014599
40,	3.14829,	0.0144112
41,	3.14714,	0.014103
42,	3.14675,	0.0137684
43,	3.14527,	0.0135263
44,	3.14537,	0.0132157
45,	3.14616,	0.0129428
46,	3.14517,	0.0126967
47,	3.14566,	0.0124334
48,	3.14706,	0.0122518
49,	3.14775,	0.012019
50,	3.14428,	0.0122784
51,	3.13987,	0.0128154
52,	3.1451,	0.0136091
53,	3.14762,	0.0135857
54,	3.14919,	0.0134237
55,	3.15266,	0.0136278
56,	3.15174,	0.0134143
57,	3.15236,	0.0131915
58,	3.15096,	0.0130378
59,	3.15072,	0.012817
60,	3.1505,	0.0126035
61,	3.14806,	0.0126324
62,	3.14598,	0.0126005
63,	3.14498,	0.0124393
64,	3.14505,	0.0122436
65,	3.1468,	0.0121798
66,	3.15125,	0.0127947
67,	3.14919,	0.0127696
68,	3.15041,	0.0126397
69,	3.14926,	0.0125082
70,	3.1474,	0.0124682
71,	3.14752,	0.0122919
72,	3.14721,	0.012124
73,	3.14802,	0.0119842
74,	3.14544,	0.0120983
75,	3.14786,	0.0121774
76,	3.14492,	0.0123685
77,	3.14531,	0.0122129
78,	3.1456,	0.0120589
79,	3.14629,	0.0119252
80,	3.14753,	0.0118402
81,	3.14546,	0.0118757
82,	3.14337,	0.0119149
83,	3.14367,	0.0117744
84,	3.14389,	0.0116354
85,	3.14374,	0.0114987
86,	3.14289,	0.0113956
87,	3.14241,	0.0112743
88,	3.142,	0.0111527
89,	3.14055,	0.0111213
90,	3.14157,	0.0110442
91,	3.14215,	0.0109371
92,	3.14277,	0.0108359
93,	3.1412,	0.0108339
94,	3.14231,	0.0107752
95,	3.14174,	0.0106761
96,	3.14183,	0.0105646
97,	3.14249,	0.0104763
98,	3.1448,	0.010622
99,	3.14376,	0.0105655
100,	3.14321,	0.0104738
