N,	Average,	Error
0,	0,	0
1,	1,	nan
2,	1.99796,	0.0113947
3,	3.01703,	0.0209509
4,	3.99217,	0.0273199
5,	4.97243,	0.0323916
6,	5.98862,	0.0436263
7,	6.9769,	0.0539098
8,	7.99291,	0.0672788
9,	8.97028,	0.0757
10,	9.99802,	0.0795985
11,	11.0781,	0.0859987
12,	12.1035,	0.0936271
13,	13.16,	0.101159
14,	14.1685,	0.115893
15,	15.0744,	0.121856
16,	16.1344,	0.12516
17,	17.0416,	0.12651
18,	17.9917,	0.129381
19,	19.0284,	0.14239
20,	20.041,	0.150318
21,	21.0222,	0.164419
22,	22.0714,	0.185173
23,	22.9882,	0.195657
24,	23.9644,	0.204551
25,	24.886,	0.215499
26,	25.9747,	0.220728
27,	26.9284,	0.239645
28,	27.8167,	0.242155
29,	28.8133,	0.259274
30,	29.7242,	0.269585
31,	30.6637,	0.272607
32,	31.6762,	0.284328
33,	32.7155,	0.28459
34,	33.6951,	0.296151
35,	34.7744,	0.307738
36,	35.7631,	0.318657
37,	36.6569,	0.323443
38,	37.7084,	0.337243
39,	38.7329,	0.336133
40,	39.6308,	0.345569
41,	40.6148,	0.352538
42,	41.5341,	0.346326
43,	42.5415,	0.35818
44,	43.534,	0.371369
45,	44.4601,	0.379414
46,	45.389,	0.391242
47,	46.5298,	0.403983
48,	47.5348,	0.408022
49,	48.5455,	0.416436
50,	49.5307,	0.418176
51,	50.5835,	0.431714
52,	51.3114,	0.438768
53,	52.2947,	0.440136
54,	53.1967,	0.44254
55,	54.1087,	0.443854
56,	54.9926,	0.45874
57,	55.9381,	0.467115
58,	56.9826,	0.482287
59,	57.9054,	0.479143
60,	58.9531,	0.490524
61,	59.9349,	0.504095
62,	60.8774,	0.510181
63,	61.9189,	0.516962
64,	62.8825,	0.524778
65,	63.8982,	0.53073
66,	64.8272,	0.531227
67,	65.8085,	0.547216
68,	66.7687,	0.577101
69,	67.7419,	0.581122
70,	68.7083,	0.579914
71,	69.7792,	0.577074
72,	70.7825,	0.591483
73,	71.9257,	0.596512
74,	73.0103,	0.595264
75,	74.0997,	0.604792
76,	75.0834,	0.606965
77,	76.0934,	0.629254
78,	77.1539,	0.647017
79,	78.1301,	0.649816
80,	79.1299,	0.659911
81,	80.0461,	0.668118
82,	81.1581,	0.676797
83,	82.0209,	0.669579
84,	83.2076,	0.67606
85,	84.1502,	0.678837
86,	85.0275,	0.676356
87,	86.0457,	0.671591
88,	87.1986,	0.683092
89,	88.3642,	0.696736
90,	89.513,	0.715186
91,	90.7505,	0.730526
92,	91.7503,	0.714555
93,	93.0537,	0.707622
94,	93.9995,	0.713537
95,	95.1048,	0.713841
96,	96.172,	0.727756
97,	97.3748,	0.746667
98,	98.2764,	0.771292
99,	99.3208,	0.766812
100,	100.208,	0.784302
