N,	Average,	Error
0,	0,	0
1,	1,	0
2,	2.0008,	0.0110057
3,	2.9756,	0.0187694
4,	3.97,	0.0288157
5,	4.947,	0.0324991
6,	5.9482,	0.0402869
7,	6.9548,	0.0488739
8,	7.9374,	0.0608735
9,	8.979,	0.0703126
10,	9.9892,	0.0801939
11,	10.9538,	0.0885386
12,	11.979,	0.100798
13,	12.8978,	0.102814
14,	13.891,	0.109141
15,	14.905,	0.11269
16,	15.899,	0.115038
17,	16.782,	0.125563
18,	17.7696,	0.128615
19,	18.7266,	0.135742
20,	19.6796,	0.151334
21,	20.6758,	0.161571
22,	21.6294,	0.178447
23,	22.6782,	0.184427
24,	23.743,	0.186648
25,	24.6846,	0.191137
26,	25.6054,	0.199132
27,	26.5398,	0.207373
28,	27.6394,	0.212157
29,	28.6198,	0.228204
30,	29.7106,	0.234966
31,	30.6872,	0.236405
32,	31.6688,	0.244447
33,	32.61,	0.262024
34,	33.5874,	0.263769
35,	34.4548,	0.273465
36,	35.4472,	0.294861
37,	36.5026,	0.308862
38,	37.605,	0.319477
39,	38.587,	0.330304
40,	39.5634,	0.338481
41,	40.6864,	0.3488
42,	41.662,	0.348485
43,	42.6824,	0.361545
44,	43.5966,	0.360912
45,	44.618,	0.368214
46,	45.713,	0.378253
47,	46.6646,	0.379197
48,	47.7328,	0.385016
49,	48.618,	0.391474
50,	49.5802,	0.405648
51,	50.5396,	0.405049
52,	51.5296,	0.417068
53,	52.55,	0.423202
54,	53.6298,	0.446026
55,	54.5432,	0.46144
56,	55.474,	0.480902
57,	56.3852,	0.494539
58,	57.3136,	0.499069
59,	58.2392,	0.502848
60,	59.3044,	0.494841
61,	60.3772,	0.505018
62,	61.4194,	0.508281
63,	62.3328,	0.521079
64,	63.3576,	0.530518
65,	64.248,	0.5388
66,	65.4168,	0.530883
67,	66.1548,	0.546237
68,	67.2994,	0.554136
69,	68.277,	0.554288
70,	69.1132,	0.564399
71,	70.0592,	0.572471
72,	71.1286,	0.565765
73,	72.3176,	0.577338
74,	73.3956,	0.584272
75,	74.4614,	0.594524
76,	75.413,	0.586043
77,	76.4542,	0.582929
78,	77.4306,	0.591826
79,	78.3264,	0.601443
80,	79.4184,	0.605903
81,	80.4396,	0.610618
82,	81.4186,	0.614486
83,	82.581,	0.624345
84,	83.5818,	0.648914
85,	84.8162,	0.654954
86,	85.8824,	0.64238
87,	86.7912,	0.635476
88,	87.8394,	0.639402
89,	88.783,	0.655541
90,	89.6304,	0.673053
91,	90.5762,	0.695038
92,	91.6366,	0.710613
93,	92.3704,	0.716383
94,	93.434,	0.72912
95,	94.4608,	0.743905
96,	95.6614,	0.753625
97,	96.7986,	0.758812
98,	97.7452,	0.758185
99,	98.6272,	0.78505
100,	99.6592,	0.763771
