N,	Average,	Error
1,	19.9457,	0
2,	16.3919,	3.5538
3,	16.2222,	2.05879
4,	15.5931,	1.58593
5,	16.4741,	1.51173
6,	16.8857,	1.30113
7,	16.4848,	1.17044
8,	16.755,	1.04903
9,	16.451,	0.973838
10,	16.4449,	0.871048
11,	16.3979,	0.789289
12,	16.0253,	0.811196
13,	15.7978,	0.780092
14,	15.6543,	0.736347
15,	15.8563,	0.71464
16,	16.0305,	0.690814
17,	16.0715,	0.650202
18,	16.0302,	0.614408
19,	15.8704,	0.602747
20,	15.9958,	0.585422
21,	15.9499,	0.558742
22,	15.9309,	0.533077
23,	15.8787,	0.512038
24,	15.9694,	0.498547
25,	15.834,	0.496972
26,	15.6918,	0.498217
27,	15.6145,	0.485596
28,	15.4479,	0.496703
29,	15.4461,	0.479272
30,	15.4776,	0.464087
31,	15.4154,	0.453155
32,	15.4926,	0.445508
33,	15.4439,	0.434534
34,	15.5103,	0.426765
35,	15.5896,	0.421908
36,	15.5545,	0.411524
37,	15.5093,	0.402792
38,	15.5188,	0.392165
39,	15.4554,	0.387208
40,	15.5032,	0.380421
41,	15.5314,	0.372096
42,	15.4471,	0.372785
43,	15.3655,	0.373045
44,	15.39,	0.365291
45,	15.3027,	0.367591
46,	15.3207,	0.359958
47,	15.3174,	0.352232
48,	15.3294,	0.345025
49,	15.3652,	0.3398
50,	15.45,	0.34356
51,	15.4667,	0.337169
52,	15.4469,	0.331211
53,	15.4981,	0.32891
54,	15.4506,	0.326234
55,	15.4882,	0.322449
56,	15.4397,	0.320333
57,	15.3995,	0.317224
58,	15.4134,	0.312015
59,	15.3902,	0.307551
60,	15.4151,	0.303403
61,	15.4059,	0.29853
62,	15.3548,	0.298092
63,	15.3813,	0.294517
64,	15.3977,	0.290345
65,	15.3964,	0.285846
66,	15.3476,	0.285679
67,	15.3279,	0.28207
68,	15.3739,	0.281663
69,	15.3447,	0.279081
70,	15.3114,	0.277079
71,	15.3036,	0.27326
72,	15.2788,	0.270571
73,	15.2748,	0.266869
74,	15.2461,	0.264803
75,	15.2279,	0.261877
76,	15.2297,	0.258414
77,	15.2361,	0.255116
78,	15.2414,	0.251879
79,	15.2675,	0.250039
80,	15.2204,	0.251346
81,	15.2293,	0.248383
82,	15.2311,	0.245341
83,	15.234,	0.242385
84,	15.1902,	0.243459
85,	15.1929,	0.240592
86,	15.1901,	0.237795
87,	15.2212,	0.237093
88,	15.205,	0.234938
89,	15.1775,	0.233913
90,	15.1806,	0.231321
91,	15.1886,	0.228906
92,	15.1963,	0.226535
93,	15.2042,	0.224224
94,	15.2117,	0.221953
95,	15.1993,	0.219953
96,	15.2075,	0.217803
97,	15.1998,	0.215683
98,	15.2433,	0.217867
99,	15.2672,	0.216975
100,	15.263,	0.214836
