N,	Average,	Error
1,	14.3276,	0
2,	14.0616,	0.265931
3,	13.8356,	0.273256
4,	15.0358,	1.21565
5,	14.0865,	1.3371
6,	14.5468,	1.18481
7,	14.8078,	1.03481
8,	15.2637,	1.00547
9,	15.2405,	0.887044
10,	14.8683,	0.876371
11,	14.6983,	0.810735
12,	14.8911,	0.764797
13,	15.0438,	0.719902
14,	14.9173,	0.678396
15,	15.1151,	0.661784
16,	15.1979,	0.624563
17,	15.0409,	0.607321
18,	14.8685,	0.59797
19,	15.0375,	0.590319
20,	14.8661,	0.585668
21,	14.8522,	0.557255
22,	14.8979,	0.533286
23,	14.8125,	0.516686
24,	14.9213,	0.506507
25,	14.8561,	0.490173
26,	14.9233,	0.475707
27,	14.852,	0.463272
28,	14.8924,	0.448248
29,	14.9095,	0.432853
30,	15.0549,	0.442736
31,	14.9878,	0.433451
32,	15.0727,	0.428196
33,	15.0393,	0.416358
34,	15.1083,	0.409781
35,	15.1666,	0.402143
36,	15.2487,	0.399339
37,	15.199,	0.391554
38,	15.1357,	0.386342
39,	15.1818,	0.379119
40,	15.188,	0.369572
41,	15.3212,	0.384255
42,	15.2451,	0.38264
43,	15.2513,	0.373686
44,	15.2004,	0.368616
45,	15.1852,	0.360654
46,	15.1586,	0.353728
47,	15.1716,	0.346366
48,	15.142,	0.340366
49,	15.1505,	0.333456
50,	15.0877,	0.332693
51,	15.1027,	0.326447
52,	15.1135,	0.320291
53,	15.1581,	0.317329
54,	15.1028,	0.316263
55,	15.0715,	0.312031
56,	15.07,	0.306412
57,	15.0033,	0.308295
58,	15.0265,	0.303816
59,	15.0138,	0.298889
60,	15.0224,	0.29399
61,	15.0224,	0.289131
62,	15.048,	0.28558
63,	15.0568,	0.281149
64,	15.0275,	0.27827
65,	14.9729,	0.279331
66,	14.9258,	0.279066
67,	14.9819,	0.28053
68,	14.924,	0.28237
69,	14.8996,	0.279321
70,	14.9623,	0.282353
71,	14.9781,	0.278799
72,	14.9527,	0.276077
73,	14.9294,	0.273263
74,	14.9369,	0.269651
75,	14.9416,	0.266072
76,	14.9743,	0.264575
77,	14.9728,	0.26112
78,	14.9523,	0.258567
79,	14.9925,	0.258413
80,	14.9747,	0.255777
81,	14.9679,	0.252693
82,	15.0483,	0.262238
83,	15.0807,	0.26108
84,	15.0866,	0.258019
85,	15.092,	0.255024
86,	15.1121,	0.252841
87,	15.118,	0.249987
88,	15.0889,	0.24883
89,	15.0674,	0.246956
90,	15.0865,	0.244936
91,	15.068,	0.242935
92,	15.0547,	0.240646
93,	15.0068,	0.242814
94,	15.0086,	0.240224
95,	15.011,	0.237693
96,	15.0029,	0.235341
97,	15.0103,	0.23302
98,	15.0069,	0.230656
99,	14.9954,	0.228599
100,	15.0096,	0.226744
