N,	Average,	Error
1,	1.52521,	0
2,	1.55086,	0.0256516
3,	1.52907,	0.0263431
4,	1.53225,	0.0188966
5,	1.52678,	0.015626
6,	1.524,	0.0130583
7,	1.53246,	0.013905
8,	1.52634,	0.0135091
9,	1.52345,	0.012259
10,	1.51871,	0.0119459
11,	1.51352,	0.0119855
12,	1.5124,	0.0109989
13,	1.51684,	0.0110499
14,	1.51892,	0.0104397
15,	1.51745,	0.00982921
16,	1.51633,	0.00926262
17,	1.51481,	0.00883139
18,	1.51035,	0.00944691
19,	1.50665,	0.00967348
20,	1.50672,	0.00917733
21,	1.50713,	0.00873904
22,	1.50538,	0.00851295
23,	1.50925,	0.00900547
24,	1.50877,	0.00863505
25,	1.50723,	0.00842571
26,	1.50754,	0.00810103
27,	1.50575,	0.0079973
28,	1.50522,	0.00772456
29,	1.50419,	0.00752465
30,	1.50549,	0.00738505
31,	1.50546,	0.00714289
32,	1.50736,	0.00717066
33,	1.50621,	0.00704458
34,	1.50655,	0.00684287
35,	1.50613,	0.00665777
36,	1.50562,	0.00649069
37,	1.50617,	0.00633734
38,	1.50506,	0.00626786
39,	1.50469,	0.00611611
40,	1.50458,	0.00596236
41,	1.50563,	0.00590972
42,	1.50563,	0.0057673
43,	1.50596,	0.00564136
44,	1.50682,	0.0055784
45,	1.50539,	0.00563834
46,	1.50385,	0.00572635
47,	1.50451,	0.00564274
48,	1.50445,	0.00552434
49,	1.50536,	0.00548622
50,	1.50446,	0.00544885
51,	1.50371,	0.0053943
52,	1.50435,	0.00532801
53,	1.50434,	0.00522652
54,	1.50394,	0.0051441
55,	1.50362,	0.00505996
56,	1.50365,	0.00496886
57,	1.5032,	0.00490119
58,	1.502,	0.00496293
59,	1.50314,	0.00500806
60,	1.50209,	0.00503334
61,	1.50223,	0.00495193
62,	1.50115,	0.00499012
63,	1.50167,	0.0049381
64,	1.50192,	0.00486689
65,	1.50243,	0.00481834
66,	1.50316,	0.00480112
67,	1.50329,	0.00473056
68,	1.50356,	0.00466814
69,	1.50486,	0.00478141
70,	1.50588,	0.00482112
71,	1.50593,	0.004753
72,	1.50619,	0.00469387
73,	1.50701,	0.00470125
74,	1.50705,	0.00463745
75,	1.50754,	0.004601
76,	1.50749,	0.00454031
77,	1.50751,	0.00448102
78,	1.50651,	0.00453481
79,	1.50658,	0.00447759
80,	1.50612,	0.00444548
81,	1.50611,	0.00439026
82,	1.50668,	0.004373
83,	1.50598,	0.0043765
84,	1.50639,	0.00434344
85,	1.50609,	0.00430216
86,	1.50585,	0.00425891
87,	1.50565,	0.00421435
88,	1.50505,	0.00420843
89,	1.50522,	0.00416414
90,	1.50579,	0.00415731
91,	1.50537,	0.00413348
92,	1.50544,	0.00408896
93,	1.50552,	0.00404559
94,	1.50524,	0.00401243
95,	1.50481,	0.00399295
96,	1.50538,	0.00399266
97,	1.506,	0.00399918
98,	1.50571,	0.00396858
99,	1.50606,	0.00394326
100,	1.50559,	0.00393126
