N,	Average,	Error
1,	1.47213,	0
2,	1.50014,	0.0280156
3,	1.5024,	0.0163321
4,	1.49117,	0.0161117
5,	1.49383,	0.0127602
6,	1.50009,	0.0121545
7,	1.50553,	0.0116235
8,	1.49992,	0.0115212
9,	1.49532,	0.0111538
10,	1.49637,	0.0100307
11,	1.49558,	0.00910735
12,	1.50448,	0.0121836
13,	1.50342,	0.0112576
14,	1.50797,	0.0113741
15,	1.51103,	0.0110216
16,	1.5105,	0.0103234
17,	1.50675,	0.0103987
18,	1.50634,	0.00981233
19,	1.5036,	0.00967851
20,	1.50199,	0.00932284
21,	1.50472,	0.0092799
22,	1.50085,	0.00965787
23,	1.50085,	0.00922841
24,	1.50009,	0.00886815
25,	1.4993,	0.00854256
26,	1.49937,	0.00820777
27,	1.50058,	0.00799009
28,	1.50226,	0.00787918
29,	1.50426,	0.00786198
30,	1.50311,	0.00768239
31,	1.5043,	0.0075261
32,	1.50254,	0.00749742
33,	1.50247,	0.00726704
34,	1.50236,	0.00705093
35,	1.50191,	0.00686091
36,	1.50162,	0.006674
37,	1.50223,	0.00651992
38,	1.50314,	0.00640992
39,	1.50378,	0.00627642
40,	1.50195,	0.00638576
41,	1.50187,	0.00622857
42,	1.50029,	0.00627984
43,	1.49985,	0.00614768
44,	1.49895,	0.00607376
45,	1.4975,	0.00611074
46,	1.49823,	0.00602068
47,	1.49802,	0.00589497
48,	1.49637,	0.00600308
49,	1.49605,	0.00588783
50,	1.49681,	0.00581811
51,	1.49665,	0.0057051
52,	1.49715,	0.00561654
53,	1.49715,	0.00550955
54,	1.4965,	0.00544521
55,	1.49517,	0.00550806
56,	1.49583,	0.00544897
57,	1.49633,	0.00537567
58,	1.49693,	0.00531623
59,	1.49699,	0.00522573
60,	1.49537,	0.0053866
61,	1.4957,	0.00530739
62,	1.49516,	0.00524906
63,	1.49579,	0.00520356
64,	1.49557,	0.00512612
65,	1.49587,	0.00505543
66,	1.49496,	0.00506139
67,	1.49528,	0.00499558
68,	1.49609,	0.00498744
69,	1.49606,	0.00491468
70,	1.49613,	0.00484446
71,	1.49753,	0.00497638
72,	1.49673,	0.00497215
73,	1.49639,	0.00491546
74,	1.49567,	0.00490179
75,	1.49656,	0.00491844
76,	1.4971,	0.00488296
77,	1.49727,	0.0048221
78,	1.49688,	0.00477531
79,	1.49686,	0.00471455
80,	1.49684,	0.0046553
81,	1.49718,	0.00460994
82,	1.49695,	0.00455883
83,	1.4977,	0.00456453
84,	1.49802,	0.00452118
85,	1.49856,	0.00450022
86,	1.49802,	0.00447978
87,	1.49797,	0.00442822
88,	1.49757,	0.00439653
89,	1.49761,	0.00434708
90,	1.49813,	0.00433014
91,	1.4988,	0.00433383
92,	1.49832,	0.0043135
93,	1.49835,	0.00426696
94,	1.49898,	0.00426884
95,	1.49887,	0.00422521
96,	1.49878,	0.00418194
97,	1.49838,	0.00415719
98,	1.49796,	0.00413593
99,	1.4981,	0.00409627
100,	1.49812,	0.00405513
