T,  h, alpha, U,  U_err,  M,  M_err,  C,  C_err,  chi,  chi_err
2,        0.02,           1,    -0.46234, 0.000424711,   0.0272534,   0.0010353,    0.197288, 0.000660246,     1.34821,  0.00557785,
1.9,        0.02,           1,   -0.483018, 0.000359423,   0.0304684,  0.00112884,    0.213426, 0.000732043,     1.49053,  0.00725844,
1.8,        0.02,           1,   -0.505272, 0.000318081,   0.0342184,  0.00125452,    0.231142, 0.000767436,     1.66738,  0.00808069,
1.7,        0.02,           1,   -0.529652, 0.000336808,   0.0395222,  0.00134721,    0.251131, 0.000911491,     1.87936,  0.00835652,
1.6,        0.02,           1,    -0.55612, 0.000330752,   0.0448244,  0.00149906,    0.272292, 0.000915892,     2.14679,  0.00980641,
1.5,        0.02,           1,     -0.5846, 0.000392624,   0.0514848,  0.00163413,    0.295677,  0.00106817,      2.4881,   0.0130593,
1.4,        0.02,           1,   -0.615516, 0.000417882,   0.0608392,  0.00185818,    0.320403,  0.00121321,     2.93132,   0.0163845,
1.3,        0.02,           1,    -0.64916, 0.000399349,   0.0742172,  0.00217151,     0.34903,  0.00163718,     3.55049,   0.0217478,
1.2,        0.02,           1,   -0.685655, 0.000430228,    0.089464,  0.00254864,    0.379154,  0.00189131,     4.36163,   0.0341187,
1.1,        0.02,           1,   -0.725026, 0.000453606,    0.114604,  0.00361247,    0.410267,  0.00156007,     5.49211,    0.048292,
1,        0.02,           1,   -0.767445, 0.000411834,    0.146303,  0.00459398,    0.440441,   0.0023246,     7.13155,   0.0656038,
0.9,        0.02,           1,   -0.812723, 0.000715174,    0.199914,  0.00744384,    0.468327,  0.00262852,     9.61879,   0.0969004,
0.8,        0.02,           1,   -0.860817, 0.000780317,    0.291648,  0.00973999,    0.498623,  0.00558991,      13.178,    0.177817,
0.7,        0.02,           1,   -0.913252, 0.000988516,    0.454691,   0.0114515,    0.524364,  0.00402417,     17.2157,    0.378653,
0.6,        0.02,           1,   -0.965049,  0.00126675,    0.666535,   0.0186623,    0.484765,   0.0071851,     19.3866,     1.55355,
0.5,        0.02,           1,    -1.00407,  0.00102765,    0.883046,   0.0245156,    0.247341,   0.0135718,     11.9148,     3.54892,
