T,  h, alpha, U,  U_err,  M,  M_err,  C,  C_err,  chi,  chi_err
2,        0.02,    0.533735,   -0.463033, 0.000408221,   0.0284438,  0.00137952,    0.199018, 0.000743224,     1.35384,  0.00455699,
1.9,        0.02,    0.513123,   -0.483333, 0.000423462,   0.0294898,  0.00157746,    0.214346, 0.000751492,     1.51042,  0.00580954,
1.8,        0.02,    0.490761,   -0.505939, 0.000446555,   0.0363552,  0.00138724,    0.231916, 0.000787398,     1.67359,  0.00846487,
1.7,        0.02,    0.466907,   -0.529949, 0.000488846,   0.0395976,  0.00134348,     0.25072, 0.000866997,     1.90314,   0.0132445,
1.6,        0.02,    0.440562,   -0.556092, 0.000585921,    0.043654,  0.00176973,    0.273369, 0.000810831,     2.15349,   0.0142241,
1.5,        0.02,    0.412185,   -0.584506, 0.000445585,    0.049861,  0.00127374,    0.297802,  0.00114794,     2.54782,   0.0178575,
1.4,        0.02,    0.381532,   -0.615255, 0.000472017,   0.0583732,  0.00200669,    0.321244,  0.00135621,     2.96407,   0.0248015,
1.3,        0.02,    0.348138,   -0.648986,  0.00050395,   0.0706982,  0.00243366,    0.348553,  0.00131882,     3.55289,   0.0233791,
1.2,        0.02,    0.312366,   -0.685083, 0.000493633,   0.0826508,  0.00260067,    0.377944,  0.00204473,     4.32555,   0.0354853,
1.1,        0.02,    0.272735,   -0.725386, 0.000640035,    0.111596,  0.00484007,    0.409237,  0.00207172,     5.49534,   0.0549806,
1,        0.02,    0.231488,   -0.767606, 0.000647802,    0.140704,  0.00293968,    0.436602,  0.00242394,     7.18295,    0.101787,
0.9,        0.02,    0.186313,   -0.813914,  0.00099739,     0.19725,  0.00684388,    0.467639,  0.00320902,       9.807,    0.133986,
0.8,        0.02,    0.140945,   -0.861622, 0.000925483,    0.285486,   0.0103249,    0.504076,  0.00606875,      13.383,    0.268349,
0.7,        0.02,   0.0923517,   -0.914405, 0.000966743,    0.461266,   0.0100916,    0.531226,  0.00633133,     17.3575,    0.652361,
0.6,        0.02,   0.0486762,   -0.962634,  0.00149247,    0.646793,   0.0238308,    0.479244,   0.0057803,     19.7368,     1.60585,
0.5,        0.02,   0.0148761,    -1.00212,  0.00101704,    0.880065,     0.01525,    0.279949,    0.013515,     11.3612,     2.29692,
