T,  h, alpha, U,  U_err,  M,  M_err,  C,  C_err,  chi,  chi_err
2,           0,    0.537754,    -0.46225, 0.000404668,   0.0001444,  0.00130176,    0.197828, 0.000730172,     1.35128,  0.00741934,
1.9,           0,    0.517487,   -0.482531, 0.000407932,   0.0010748,  0.00174374,    0.212834, 0.000921802,     1.50736,  0.00838217,
1.8,           0,    0.495771,   -0.504497, 0.000432657,   0.0006586,  0.00108575,    0.229175, 0.000575123,     1.67909,   0.0107945,
1.7,           0,    0.472022,   -0.528012, 0.000447747,   0.0004242,  0.00143568,    0.247434, 0.000772909,     1.88496,  0.00945548,
1.6,           0,    0.445757,   -0.554304, 0.000490274,   -1.26e-05,  0.00144426,    0.269991, 0.000831376,     2.18664,   0.0107074,
1.5,           0,    0.416968,    -0.58305, 0.000377522,  -0.0025424,  0.00174488,    0.293518,    0.001262,     2.52746,   0.0185364,
1.4,           0,    0.386972,   -0.612784, 0.000432753,   -0.000962,  0.00305981,    0.315805,  0.00113669,     2.93432,   0.0211417,
1.3,           0,    0.353665,   -0.646461, 0.000464272,  -0.0008104,  0.00253374,    0.344558,  0.00119973,     3.55703,   0.0268119,
1.2,           0,    0.317704,   -0.682737, 0.000462786,   -0.004367,  0.00280392,    0.366495,  0.00183558,     4.42242,   0.0382014,
1.1,           0,    0.279559,   -0.720652, 0.000518301,   0.0017698,  0.00289112,    0.395741,   0.0021974,     5.60861,   0.0496039,
1,           0,    0.238174,   -0.761937, 0.000594881,   0.0005946,  0.00564224,    0.418887,  0.00242518,     7.47439,   0.0610899,
0.9,           0,     0.19531,   -0.804771, 0.000649396,   0.0111278,  0.00642044,    0.437796,  0.00350292,     10.3547,    0.133833,
0.8,           0,    0.150892,   -0.849298, 0.000711376,  -0.0074958,   0.0102012,    0.448087,  0.00371264,     15.4896,    0.199656,
0.7,           0,    0.107545,   -0.892441, 0.000995448,   0.0105738,   0.0159053,    0.431904,  0.00437447,     24.4324,    0.440672,
0.6,           0,   0.0656442,   -0.934389,  0.00118925,   0.0161584,   0.0357804,    0.423193,   0.0059657,     43.8924,    0.945855,
0.5,           0,   0.0265161,   -0.973504,  0.00104928,    0.105453,   0.0635929,    0.331272,  0.00845217,     78.4359,     1.01909,
