U, Uerr, P, Perr
-5.47903,           0,    -3.84497,           0
-5.47903,           0,    -3.84497,           0
-5.47903,           0,    -3.84497,           0
-5.47903,           0,    -3.84497,           0
-0.386009,           0,    0.040532,           0
-0.405851,           0,   0.0395399,           0
-0.406589,           0,    0.039503,           0
-0.408951,           0,   0.0393849,           0
-0.413227,           0,   0.0391711,           0
-0.415231,           0,   0.0390709,           0
-0.411682,           0,   0.0392484,           0
-0.41194,           0,   0.0392355,           0
-0.410675,           0,   0.0392987,           0
-0.415231,           0,   0.0390709,           0
-0.409542,           0,   0.0393553,           0
-0.410675,           0,   0.0392987,           0
-0.410675,           0,   0.0392987,           0
-0.413227,           0,   0.0391711,           0
-0.41346,           0,   0.0391595,           0
-0.41346,           0,   0.0391595,           0
-0.41346,           0,   0.0391595,           0
-0.406048,           0,   0.0395301,           0
-0.41346,           0,   0.0391595,           0
-7.54921,           0,    -8.36773,           0
-7.54921,           0,    -8.36773,           0
-5.47903,           0,    -3.84497,           0
-5.47903,           0,    -3.84497,           0
-5.47903,           0,    -3.84497,           0
-5.47903,           0,     1.31344,           0
-7.54921,           0,     7.57929,           0
-0.41346,           0,   0.0488751,           0
-0.410675,           0,   0.0491364,           0
-0.415231,           0,   0.0490236,           0
-0.41346,           0,   0.0488751,           0
-7.54602,           0,      7.5966,           0
-5.4638,           0,     1.39976,           0
-0.414404,           0,   0.0490216,           0
