N,	Average,	Error
1,	-0.121795,	0
2,	-0.0885649,	0.0332302
3,	-0.0902656,	0.0192607
4,	-0.0895496,	0.0136382
5,	-0.0981253,	0.0136067
6,	-0.0913975,	0.0129882
7,	-0.0862157,	0.0121386
8,	-0.0882678,	0.0107108
9,	-0.0919051,	0.0101221
10,	-0.0755328,	0.0187087
11,	-0.0820862,	0.0181473
12,	-0.0806158,	0.0166313
13,	-0.0765174,	0.015838
14,	-0.0797249,	0.0150098
15,	-0.0843147,	0.0147079
16,	-0.0816577,	0.0140122
17,	-0.0824324,	0.0131849
18,	-0.0746622,	0.0146595
19,	-0.0768909,	0.0140445
20,	-0.0753376,	0.013414
21,	-0.0740276,	0.0128263
22,	-0.0729468,	0.0122771
23,	-0.0750652,	0.0119209
24,	-0.0760414,	0.0114551
25,	-0.0787247,	0.0113102
26,	-0.0800548,	0.0109476
27,	-0.0825333,	0.010822
28,	-0.0822509,	0.0104321
29,	-0.0848932,	0.010407
30,	-0.0856419,	0.010082
31,	-0.0850357,	0.00977013
32,	-0.0856577,	0.00948031
33,	-0.087231,	0.00932228
34,	-0.0862212,	0.00910014
35,	-0.0866107,	0.00884489
36,	-0.0868902,	0.00860023
37,	-0.0867141,	0.00836641
38,	-0.0879591,	0.00823789
39,	-0.0876413,	0.00803017
40,	-0.0878661,	0.00783007
41,	-0.0872852,	0.00765877
42,	-0.0866331,	0.00750258
43,	-0.0867729,	0.00732736
44,	-0.0859735,	0.00720339
45,	-0.0865001,	0.00706116
46,	-0.0862764,	0.00690958
47,	-0.0859066,	0.00677107
48,	-0.08505,	0.00668363
49,	-0.0846049,	0.00656092
50,	-0.0842551,	0.00643788
51,	-0.0834961,	0.00635586
52,	-0.0839989,	0.00625269
53,	-0.0849491,	0.00620674
54,	-0.0854568,	0.00611184
55,	-0.0858118,	0.00601018
56,	-0.0861291,	0.0059104
57,	-0.0865199,	0.00581892
58,	-0.0865175,	0.00571772
59,	-0.0859057,	0.00565318
60,	-0.0857075,	0.00556169
61,	-0.085393,	0.00547879
62,	-0.0840371,	0.00555764
63,	-0.0837445,	0.00547653
64,	-0.0823893,	0.00555803
65,	-0.081177,	0.00560455
66,	-0.081825,	0.0055569
67,	-0.0820839,	0.00547945
68,	-0.0824257,	0.00540907
69,	-0.0835427,	0.00544589
70,	-0.0848776,	0.00553104
71,	-0.0847119,	0.0054551
72,	-0.0840848,	0.00541523
73,	-0.0846842,	0.00537406
74,	-0.0845672,	0.00530223
75,	-0.0838272,	0.00528314
76,	-0.0841723,	0.00522457
77,	-0.0850348,	0.00522791
78,	-0.0850919,	0.00516077
79,	-0.0850349,	0.00509534
80,	-0.0855231,	0.00505488
81,	-0.0856888,	0.00499483
82,	-0.086355,	0.00497831
83,	-0.0867408,	0.00493308
84,	-0.0852379,	0.00510044
85,	-0.0852913,	0.00504036
86,	-0.0852958,	0.00498141
87,	-0.0861133,	0.00499123
88,	-0.0860503,	0.00493459
89,	-0.0861137,	0.00487924
90,	-0.0860762,	0.00482487
91,	-0.0867639,	0.00482085
92,	-0.0857637,	0.00487194
93,	-0.086144,	0.00483425
94,	-0.0861925,	0.00478279
95,	-0.0855616,	0.00477405
96,	-0.0854704,	0.00472494
97,	-0.0850259,	0.00469705
98,	-0.084851,	0.00465217
99,	-0.0850783,	0.00461054
100,	-0.0852864,	0.00456894
