N,	Average,	Error
1,	-0.44152,	0
2,	-0.441076,	0.000443957
3,	-0.441417,	0.000427017
4,	-0.442815,	0.00142995
5,	-0.442803,	0.0011077
6,	-0.442907,	0.000910334
7,	-0.443088,	0.000790475
8,	-0.443406,	0.000754965
9,	-0.443435,	0.000666429
10,	-0.443445,	0.00059616
11,	-0.443692,	0.000592957
12,	-0.443785,	0.000549306
13,	-0.443785,	0.000505289
14,	-0.443947,	0.000495184
15,	-0.443923,	0.000461623
16,	-0.443986,	0.000436382
17,	-0.443929,	0.00041381
18,	-0.443974,	0.000392681
19,	-0.443935,	0.00037347
20,	-0.443927,	0.000354393
21,	-0.443945,	0.000337592
22,	-0.444016,	0.000329508
23,	-0.444017,	0.000314861
24,	-0.444096,	0.000311395
25,	-0.444166,	0.000306833
26,	-0.444214,	0.000298721
27,	-0.444173,	0.000290381
28,	-0.444222,	0.000284107
29,	-0.444269,	0.000278111
30,	-0.444327,	0.000274862
31,	-0.444258,	0.000274617
32,	-0.444281,	0.000266891
33,	-0.444279,	0.000258683
34,	-0.444306,	0.000252374
35,	-0.444287,	0.000245802
36,	-0.444188,	0.000258448
37,	-0.444205,	0.00025195
38,	-0.44419,	0.000245682
39,	-0.444212,	0.000240236
40,	-0.444244,	0.000236422
41,	-0.444277,	0.000232898
42,	-0.444302,	0.000228683
43,	-0.444301,	0.000223305
44,	-0.444334,	0.000220601
45,	-0.444372,	0.000219103
46,	-0.44436,	0.00021465
47,	-0.444397,	0.000213187
48,	-0.444424,	0.000210483
49,	-0.444422,	0.00020615
50,	-0.444368,	0.00020901
51,	-0.444399,	0.000207172
52,	-0.444338,	0.000212091
53,	-0.444302,	0.000211124
54,	-0.444352,	0.000213044
55,	-0.444346,	0.000209222
56,	-0.444315,	0.000207735
57,	-0.444318,	0.000204074
58,	-0.444334,	0.000201184
59,	-0.444318,	0.000198415
60,	-0.444318,	0.000195081
61,	-0.444343,	0.000193445
62,	-0.444345,	0.000190311
63,	-0.444335,	0.000187546
64,	-0.444328,	0.000184738
65,	-0.444352,	0.000183462
66,	-0.444319,	0.000183672
67,	-0.444346,	0.000183034
68,	-0.444343,	0.000180358
69,	-0.444341,	0.000177732
70,	-0.444345,	0.000175216
71,	-0.44433,	0.000173394
72,	-0.444314,	0.000171708
73,	-0.444317,	0.000169364
74,	-0.44432,	0.000167087
75,	-0.444314,	0.000164942
76,	-0.44429,	0.000164603
77,	-0.444295,	0.000162544
78,	-0.444261,	0.000164089
79,	-0.444236,	0.000163919
80,	-0.444254,	0.000162908
81,	-0.444239,	0.000161642
82,	-0.444247,	0.000159863
83,	-0.444227,	0.000159158
84,	-0.444242,	0.000157976
85,	-0.444241,	0.000156111
86,	-0.444248,	0.000154448
87,	-0.444253,	0.000152743
88,	-0.444238,	0.000151705
89,	-0.444234,	0.000150037
90,	-0.444225,	0.000148632
91,	-0.444235,	0.00014733
92,	-0.444243,	0.000145895
93,	-0.444272,	0.000147223
94,	-0.444276,	0.000145721
95,	-0.444259,	0.000145201
96,	-0.444255,	0.000143729
97,	-0.444242,	0.00014282
98,	-0.444246,	0.00014141
99,	-0.444268,	0.000141554
100,	-0.444241,	0.000142623
