Beta,	 T,	 Length,	MutationAcceptance
0.005,	200,	413.461,	0.9537
0.0055,	181.818,	449.607,	0.946
0.00605,	165.289,	320.163,	0.9422
0.006655,	150.263,	468.509,	0.9347
0.0073205,	136.603,	424.679,	0.9284
0.00805255,	124.184,	427.149,	0.9276
0.00885781,	112.895,	413.783,	0.9151
0.00974359,	102.632,	363.661,	0.9078
0.0107179,	93.3015,	363.61,	0.9
0.0117897,	84.8195,	406.534,	0.8891
0.0129687,	77.1087,	419.277,	0.8763
0.0142656,	70.0988,	412.814,	0.869
0.0156921,	63.7262,	404.114,	0.8541
0.0172614,	57.9329,	400.864,	0.839
0.0189875,	52.6663,	421.568,	0.8177
0.0208862,	47.8784,	368.256,	0.8066
0.0229749,	43.5258,	415.983,	0.7899
0.0252724,	39.5689,	392.841,	0.7564
0.0277996,	35.9718,	372.29,	0.7393
0.0305795,	32.7016,	367.656,	0.7119
0.0336375,	29.7287,	308.403,	0.6854
0.0370012,	27.0261,	403.994,	0.6492
0.0407014,	24.5692,	327.325,	0.6129
0.0447715,	22.3356,	314.331,	0.5913
0.0492487,	20.3051,	361.043,	0.542
0.0541735,	18.4592,	297.281,	0.5007
0.0595909,	16.7811,	364.412,	0.4841
0.06555,	15.2555,	393.554,	0.4355
0.072105,	13.8687,	303.024,	0.3831
0.0793155,	12.6079,	396.897,	0.3346
0.087247,	11.4617,	289.539,	0.3162
0.0959717,	10.4197,	303.316,	0.2873
0.105569,	9.47249,	273.482,	0.2415
0.116126,	8.61135,	258.009,	0.1926
0.127738,	7.8285,	269.334,	0.1469
0.140512,	7.11682,	239.923,	0.1351
0.154563,	6.46984,	301.54,	0.1208
0.17002,	5.88167,	287.252,	0.0908
0.187022,	5.34697,	209.976,	0.0831
0.205724,	4.86088,	206.484,	0.0614
0.226296,	4.41899,	195.392,	0.0579
0.248926,	4.01726,	189.315,	0.0345
0.273818,	3.65205,	123.35,	0.0397
0.3012,	3.32005,	97.7629,	0.0202
0.33132,	3.01823,	95.1184,	0.0174
0.364452,	2.74384,	163.551,	0.0219
0.400898,	2.4944,	87.1182,	0.0187
0.440987,	2.26764,	87.8208,	0.0104
0.485086,	2.06149,	81.5127,	0.0102
0.533595,	1.87408,	104.478,	0.0111
0.586954,	1.70371,	89.9359,	0.0121
0.64565,	1.54883,	66.5792,	0.0083
0.710215,	1.40803,	77.9917,	0.0074
0.781236,	1.28002,	72.915,	0.0058
0.85936,	1.16366,	66.6694,	0.0052
0.945296,	1.05787,	65.3199,	0.0044
1.03983,	0.9617,	72.3366,	0.0038
1.14381,	0.874273,	66.4913,	0.0038
1.25819,	0.794793,	68.9471,	0.0034
1.38401,	0.722539,	65.3388,	0.0035
1.52241,	0.656854,	64.0134,	0.0031
1.67465,	0.59714,	65.3656,	0.0036
1.84211,	0.542855,	62.3928,	0.0023
2.02633,	0.493504,	64.3933,	0.0016
2.22896,	0.44864,	63.8534,	0.0027
2.45185,	0.407855,	63.7644,	0.0011
2.69704,	0.370777,	65.3332,	0.0018
2.96674,	0.33707,	63.1647,	0.0014
3.26342,	0.306427,	64.441,	0.0008
3.58976,	0.27857,	63.1693,	0.0012
3.94873,	0.253246,	62.5657,	0.0007
4.34361,	0.230223,	63.1824,	0.0007
4.77797,	0.209294,	63.0141,	0.0003
5.25577,	0.190267,	63.0903,	0.0006
5.78134,	0.17297,	62.561,	0.0004
6.35948,	0.157246,	62.3928,	0.0005
6.99542,	0.142951,	62.561,	0.0001
7.69497,	0.129955,	63.3172,	0.0004
8.46446,	0.118141,	62.3928,	0.0007
9.31091,	0.107401,	62.3928,	0
10.242,	0.0976372,	62.5657,	0.0001
11.2662,	0.0887611,	62.3928,	0.0001
12.3928,	0.0806919,	62.3928,	0.0004
13.6321,	0.0733563,	62.3928,	0
14.9953,	0.0666875,	62.3928,	0
16.4948,	0.060625,	62.3928,	0
18.1443,	0.0551136,	62.3928,	0
19.9588,	0.0501033,	62.3928,	0
21.9546,	0.0455485,	62.3928,	0
24.1501,	0.0414077,	62.3928,	0
26.5651,	0.0376434,	62.3928,	0
29.2216,	0.0342212,	62.3928,	0
32.1438,	0.0311102,	62.3928,	0
35.3582,	0.028282,	62.3928,	0
38.894,	0.0257109,	62.3928,	0
42.7834,	0.0233736,	62.3928,	0
47.0617,	0.0212487,	62.3928,	0
51.7679,	0.019317,	62.3928,	0
56.9447,	0.0175609,	62.3928,	0
62.6391,	0.0159645,	62.3928,	0
68.9031,	0.0145131,	62.3928,	0
75.7934,	0.0131938,	62.3928,	0
83.3727,	0.0119943,	62.3928,	0.0001
91.71,	0.0109039,	62.3928,	0
100.881,	0.00991267,	62.3928,	0
110.969,	0.00901152,	62.3928,	0
122.066,	0.00819229,	62.3928,	0
134.273,	0.00744754,	62.3928,	0
147.7,	0.00677049,	62.3928,	0
162.47,	0.00615499,	62.3928,	0
178.717,	0.00559544,	62.3928,	0
196.588,	0.00508677,	62.3928,	0
216.247,	0.00462433,	62.3928,	0
237.872,	0.00420394,	62.3928,	0
261.659,	0.00382176,	62.3928,	0
287.825,	0.00347433,	62.3928,	0
316.608,	0.00315848,	62.3928,	0
348.268,	0.00287135,	62.3928,	0
383.095,	0.00261032,	62.3928,	0
421.405,	0.00237301,	62.3928,	0
463.545,	0.00215729,	62.3928,	0
509.9,	0.00196117,	62.3928,	0
560.89,	0.00178288,	62.3928,	0
616.979,	0.0016208,	62.3928,	0
678.677,	0.00147346,	62.3928,	0
746.544,	0.00133951,	62.3928,	0
821.199,	0.00121773,	62.3928,	0
903.319,	0.00110703,	62.3928,	0
993.651,	0.00100639,	62.3928,	0
1093.02,	0.0009149,	62.3928,	0
1202.32,	0.000831727,	62.3928,	0
1322.55,	0.000756116,	62.3928,	0
1454.8,	0.000687378,	62.3928,	0
1600.28,	0.000624889,	62.3928,	0
1760.31,	0.000568081,	62.3928,	0
1936.34,	0.000516437,	62.3928,	0
2129.98,	0.000469488,	62.3928,	0
2342.98,	0.000426808,	62.3928,	0
2577.27,	0.000388007,	62.3928,	0
2835,	0.000352734,	62.3928,	0
3118.5,	0.000320667,	62.3928,	0
3430.35,	0.000291515,	62.3928,	0
3773.39,	0.000265014,	62.3928,	0
4150.73,	0.000240922,	62.3928,	0
4565.8,	0.00021902,	62.3928,	0
5022.38,	0.000199109,	62.3928,	0
5524.62,	0.000181008,	62.3928,	0
6077.08,	0.000164553,	62.3928,	0
6684.78,	0.000149593,	62.3928,	0
7353.26,	0.000135994,	62.3928,	0
8088.59,	0.000123631,	62.3928,	0
8897.45,	0.000112392,	62.3928,	0
9787.19,	0.000102174,	62.3928,	0
10765.9,	9.28858e-05,	62.3928,	0
11842.5,	8.44416e-05,	62.3928,	0
13026.8,	7.67651e-05,	62.3928,	0
14329.4,	6.97865e-05,	62.3928,	0
15762.4,	6.34422e-05,	62.3928,	0
17338.6,	5.76748e-05,	62.3928,	0
19072.5,	5.24316e-05,	62.3928,	0
20979.7,	4.76651e-05,	62.3928,	0
23077.7,	4.33319e-05,	62.3928,	0
25385.5,	3.93926e-05,	62.3928,	0
27924,	3.58115e-05,	62.3928,	0
30716.4,	3.25559e-05,	62.3928,	0
33788,	2.95963e-05,	62.3928,	0
37166.8,	2.69057e-05,	62.3928,	0
40883.5,	2.44597e-05,	62.3928,	0
44971.9,	2.22361e-05,	62.3928,	0
49469.1,	2.02146e-05,	62.3928,	0
54416,	1.8377e-05,	62.3928,	0
59857.6,	1.67063e-05,	62.3928,	0
65843.3,	1.51876e-05,	62.3928,	0
72427.7,	1.38069e-05,	62.3928,	0
79670.4,	1.25517e-05,	62.3928,	0
87637.5,	1.14106e-05,	62.3928,	0
96401.2,	1.03733e-05,	62.3928,	0
106041,	9.43028e-06,	62.3928,	0
116645,	8.57298e-06,	62.3928,	0
128310,	7.79362e-06,	62.3928,	0
141141,	7.08511e-06,	62.3928,	0
155255,	6.44101e-06,	62.3928,	0
170781,	5.85546e-06,	62.3928,	0
187859,	5.32315e-06,	62.3928,	0
206645,	4.83923e-06,	62.3928,	0
227309,	4.3993e-06,	62.3928,	0
250040,	3.99936e-06,	62.3928,	0
275044,	3.63578e-06,	62.3928,	0
302548,	3.30526e-06,	62.3928,	0
332803,	3.00478e-06,	62.3928,	0
366084,	2.73162e-06,	62.3928,	0
402692,	2.48329e-06,	62.3928,	0
442961,	2.25753e-06,	62.3928,	0
487257,	2.0523e-06,	62.3928,	0
535983,	1.86573e-06,	62.3928,	0
589581,	1.69612e-06,	62.3928,	0.0001
648539,	1.54193e-06,	62.3928,	0
713393,	1.40175e-06,	62.3928,	0
784733,	1.27432e-06,	62.3928,	0
863206,	1.15847e-06,	62.3928,	0
949526,	1.05316e-06,	62.3928,	0
