Beta,	 T,	 Length,	MutationAcceptance
0.005,	200,	156.305,	0.9837
0.0055,	181.818,	160.51,	0.9817
0.00605,	165.289,	171.819,	0.9786
0.006655,	150.263,	150.605,	0.9764
0.0073205,	136.603,	165.849,	0.9757
0.00805255,	124.184,	188.767,	0.9731
0.00885781,	112.895,	178.448,	0.9689
0.00974359,	102.632,	165.297,	0.9659
0.0107179,	93.3015,	151.411,	0.9642
0.0117897,	84.8195,	170.461,	0.9591
0.0129687,	77.1087,	182.326,	0.9556
0.0142656,	70.0988,	175.058,	0.9521
0.0156921,	63.7262,	172.765,	0.944
0.0172614,	57.9329,	173.456,	0.9388
0.0189875,	52.6663,	185.044,	0.9344
0.0208862,	47.8784,	193.307,	0.9294
0.0229749,	43.5258,	181.178,	0.9222
0.0252724,	39.5689,	177.562,	0.9115
0.0277996,	35.9718,	170.3,	0.9061
0.0305795,	32.7016,	177.524,	0.8972
0.0336375,	29.7287,	168.65,	0.8761
0.0370012,	27.0261,	178.939,	0.8677
0.0407014,	24.5692,	156.851,	0.8555
0.0447715,	22.3356,	147.874,	0.8461
0.0492487,	20.3051,	165.917,	0.829
0.0541735,	18.4592,	174.35,	0.8045
0.0595909,	16.7811,	153.806,	0.7944
0.06555,	15.2555,	165.818,	0.7698
0.072105,	13.8687,	152.719,	0.7512
0.0793155,	12.6079,	173.161,	0.7188
0.087247,	11.4617,	153.655,	0.7041
0.0959717,	10.4197,	164.368,	0.6577
0.105569,	9.47249,	172.494,	0.6508
0.116126,	8.61135,	180.795,	0.6059
0.127738,	7.8285,	169.467,	0.5699
0.140512,	7.11682,	145.674,	0.5362
0.154563,	6.46984,	137.438,	0.4922
0.17002,	5.88167,	150.442,	0.4673
0.187022,	5.34697,	138.073,	0.4046
0.205724,	4.86088,	121.842,	0.36
0.226296,	4.41899,	140.598,	0.319
0.248926,	4.01726,	120.231,	0.2655
0.273818,	3.65205,	95.8541,	0.2162
0.3012,	3.32005,	122.723,	0.1977
0.33132,	3.01823,	109.933,	0.1667
0.364452,	2.74384,	109.436,	0.1399
0.400898,	2.4944,	149.5,	0.1277
0.440987,	2.26764,	97.1346,	0.0965
0.485086,	2.06149,	116.062,	0.0884
0.533595,	1.87408,	88.3437,	0.075
0.586954,	1.70371,	102.273,	0.0586
0.64565,	1.54883,	66.6929,	0.0395
0.710215,	1.40803,	78.3443,	0.0396
0.781236,	1.28002,	89.6371,	0.0265
0.85936,	1.16366,	68.4781,	0.0301
0.945296,	1.05787,	62.0434,	0.0177
1.03983,	0.9617,	53.8989,	0.0205
1.14381,	0.874273,	63.633,	0.0133
1.25819,	0.794793,	58.3144,	0.0119
1.38401,	0.722539,	59.9297,	0.0109
1.52241,	0.656854,	59.5011,	0.0094
1.67465,	0.59714,	53.07,	0.0063
1.84211,	0.542855,	56.581,	0.0102
2.02633,	0.493504,	51.5504,	0.0061
2.22896,	0.44864,	53.5301,	0.005
2.45185,	0.407855,	52.7357,	0.0039
2.69704,	0.370777,	50.5285,	0.0038
2.96674,	0.33707,	49.5885,	0.004
3.26342,	0.306427,	48.0531,	0.0034
3.58976,	0.27857,	46.9966,	0.0017
3.94873,	0.253246,	47.461,	0.0017
4.34361,	0.230223,	46.4898,	0.0018
4.77797,	0.209294,	47.2804,	0.0018
5.25577,	0.190267,	47.2171,	0.0017
5.78134,	0.17297,	46.7242,	0.0012
6.35948,	0.157246,	46.5457,	0.0015
6.99542,	0.142951,	46.3666,	0.0012
7.69497,	0.129955,	46.4149,	0.0003
8.46446,	0.118141,	46.6419,	0.0009
9.31091,	0.107401,	46.4987,	0.0008
10.242,	0.0976372,	46.7859,	0.001
11.2662,	0.0887611,	46.3666,	0.0008
12.3928,	0.0806919,	46.6419,	0.0008
13.6321,	0.0733563,	46.4149,	0.0013
14.9953,	0.0666875,	46.3666,	0.0001
16.4948,	0.060625,	46.3666,	0.0004
18.1443,	0.0551136,	46.4987,	0.0006
19.9588,	0.0501033,	46.3666,	0.0004
21.9546,	0.0455485,	46.4489,	0.0005
24.1501,	0.0414077,	46.4149,	0.0002
26.5651,	0.0376434,	46.3666,	0.0003
29.2216,	0.0342212,	46.4149,	0.0001
32.1438,	0.0311102,	46.4149,	0.0002
35.3582,	0.028282,	46.3666,	0.0001
38.894,	0.0257109,	46.3666,	0.0002
42.7834,	0.0233736,	46.3666,	0
47.0617,	0.0212487,	46.3666,	0
51.7679,	0.019317,	46.3666,	0
56.9447,	0.0175609,	46.3666,	0
62.6391,	0.0159645,	46.4149,	0.0001
68.9031,	0.0145131,	46.3666,	0.0001
75.7934,	0.0131938,	46.3666,	0
83.3727,	0.0119943,	46.3666,	0.0001
91.71,	0.0109039,	46.3666,	0
100.881,	0.00991267,	46.3666,	0
110.969,	0.00901152,	46.3666,	0
122.066,	0.00819229,	46.3666,	0
134.273,	0.00744754,	46.3666,	0
147.7,	0.00677049,	46.3666,	0
162.47,	0.00615499,	46.3666,	0
178.717,	0.00559544,	46.3666,	0
196.588,	0.00508677,	46.3666,	0
216.247,	0.00462433,	46.3666,	0
237.872,	0.00420394,	46.3666,	0
261.659,	0.00382176,	46.3666,	0
287.825,	0.00347433,	46.3666,	0
316.608,	0.00315848,	46.3666,	0
348.268,	0.00287135,	46.3666,	0
383.095,	0.00261032,	46.3666,	0
421.405,	0.00237301,	46.3666,	0
463.545,	0.00215729,	46.3666,	0
509.9,	0.00196117,	46.3666,	0
560.89,	0.00178288,	46.3666,	0
616.979,	0.0016208,	46.3666,	0
678.677,	0.00147346,	46.3666,	0
746.544,	0.00133951,	46.3666,	0
821.199,	0.00121773,	46.3666,	0
903.319,	0.00110703,	46.3666,	0
993.651,	0.00100639,	46.3666,	0
1093.02,	0.0009149,	46.3666,	0
1202.32,	0.000831727,	46.3666,	0
1322.55,	0.000756116,	46.3666,	0
1454.8,	0.000687378,	46.3666,	0
1600.28,	0.000624889,	46.3666,	0
1760.31,	0.000568081,	46.3666,	0
1936.34,	0.000516437,	46.3666,	0
2129.98,	0.000469488,	46.3666,	0
2342.98,	0.000426808,	46.3666,	0
2577.27,	0.000388007,	46.3666,	0
2835,	0.000352734,	46.3666,	0
3118.5,	0.000320667,	46.3666,	0
3430.35,	0.000291515,	46.3666,	0
3773.39,	0.000265014,	46.3666,	0
4150.73,	0.000240922,	46.3666,	0
4565.8,	0.00021902,	46.3666,	0
5022.38,	0.000199109,	46.3666,	0
5524.62,	0.000181008,	46.3666,	0
6077.08,	0.000164553,	46.3666,	0
6684.78,	0.000149593,	46.3666,	0
7353.26,	0.000135994,	46.3666,	0
8088.59,	0.000123631,	46.3666,	0
8897.45,	0.000112392,	46.3666,	0
9787.19,	0.000102174,	46.3666,	0
10765.9,	9.28858e-05,	46.3666,	0
11842.5,	8.44416e-05,	46.3666,	0
13026.8,	7.67651e-05,	46.3666,	0
14329.4,	6.97865e-05,	46.3666,	0
15762.4,	6.34422e-05,	46.3666,	0
17338.6,	5.76748e-05,	46.3666,	0
19072.5,	5.24316e-05,	46.3666,	0
20979.7,	4.76651e-05,	46.3666,	0
23077.7,	4.33319e-05,	46.3666,	0
25385.5,	3.93926e-05,	46.3666,	0
27924,	3.58115e-05,	46.3666,	0
30716.4,	3.25559e-05,	46.3666,	0
33788,	2.95963e-05,	46.3666,	0
37166.8,	2.69057e-05,	46.3666,	0
40883.5,	2.44597e-05,	46.3666,	0
44971.9,	2.22361e-05,	46.3666,	0
49469.1,	2.02146e-05,	46.3666,	0
54416,	1.8377e-05,	46.3666,	0
59857.6,	1.67063e-05,	46.3666,	0
65843.3,	1.51876e-05,	46.3666,	0
72427.7,	1.38069e-05,	46.3666,	0
79670.4,	1.25517e-05,	46.3666,	0
87637.5,	1.14106e-05,	46.3666,	0
96401.2,	1.03733e-05,	46.3666,	0
106041,	9.43028e-06,	46.3666,	0
116645,	8.57298e-06,	46.3666,	0
128310,	7.79362e-06,	46.3666,	0
141141,	7.08511e-06,	46.3666,	0
155255,	6.44101e-06,	46.3666,	0
170781,	5.85546e-06,	46.3666,	0
187859,	5.32315e-06,	46.3666,	0
206645,	4.83923e-06,	46.3666,	0
227309,	4.3993e-06,	46.3666,	0
250040,	3.99936e-06,	46.3666,	0
275044,	3.63578e-06,	46.3666,	0
302548,	3.30526e-06,	46.3666,	0
332803,	3.00478e-06,	46.3666,	0
366084,	2.73162e-06,	46.3666,	0
402692,	2.48329e-06,	46.3666,	0
442961,	2.25753e-06,	46.3666,	0
487257,	2.0523e-06,	46.3666,	0
535983,	1.86573e-06,	46.3666,	0
589581,	1.69612e-06,	46.3666,	0.0001
648539,	1.54193e-06,	46.3666,	0
713393,	1.40175e-06,	46.3666,	0
784733,	1.27432e-06,	46.3666,	0
863206,	1.15847e-06,	46.3666,	0
949526,	1.05316e-06,	46.3666,	0
